k,time,wind_mps,P_pu,Q_pu,wr_pu,P_MW,Q_Mvar,dayOfYear,month
1325,08-Aug-2024 16:00:00,6.02177436273836,0.188886378754686,-0.228311044412549,0.790662451435421,215.330471780342,-260.274590630306,221,8
1326,08-Aug-2024 20:00:00,4.68708049284504,0.127661200558162,-0.217747779956922,0.728987888475314,145.533768636305,-248.232469150892,221,8
1327,09-Aug-2024 00:00:00,9.29138208216466,0.422238132443096,-0.232128810729383,1.03641523169298,481.351470985129,-264.626844231497,222,8
1328,09-Aug-2024 04:00:00,11.9994747271042,0.828469707568253,-0.106821771740887,1.20017868737128,944.455466627808,-121.776819784611,222,8
1329,09-Aug-2024 08:00:00,11.6669645705905,0.774420533960888,-0.133600424222664,1.20043650818632,882.839408715412,-152.304483613837,222,8
1330,09-Aug-2024 12:00:00,12.785462670896,0.900900585574519,-0.0579049018778856,1.20033457472322,1027.02666755495,-66.0115881407895,222,8
1331,09-Aug-2024 16:00:00,13.67578158919,0.896307826037817,-0.0531464380109438,1.19969651155931,1021.79092168311,-60.5869393324759,222,8
1332,09-Aug-2024 20:00:00,13.6208685711619,0.897475067115833,-0.0534016590364406,1.199720466474,1023.12157651205,-60.8778913015423,222,8
1333,10-Aug-2024 00:00:00,12.3374965583912,0.898962785725484,-0.0615540406023945,1.20095835154562,1024.81757572705,-70.1716062867298,223,8
1334,10-Aug-2024 04:00:00,11.3850917102023,0.718247452442424,-0.154580765892883,1.20088462024082,818.802095784363,-176.222073117886,223,8
1335,10-Aug-2024 08:00:00,10.830373143835,0.619028857584038,-0.190439941359405,1.1695745694898,705.692897645803,-217.101533149722,223,8
1336,10-Aug-2024 12:00:00,11.4493008723121,0.732682058297107,-0.149542278915197,1.2007807238208,835.257546458702,-170.478197963325,223,8
1337,10-Aug-2024 16:00:00,10.9107919470927,0.632322302183015,-0.185887770995298,1.17603285421283,720.847424488637,-211.91205893464,223,8
1338,10-Aug-2024 20:00:00,9.8325082305398,0.483362018542228,-0.223148006879327,1.08403050850883,551.03270113814,-254.388727842433,223,8
1339,11-Aug-2024 00:00:00,8.08018835469908,0.306103249103292,-0.236608827967758,0.934014457189282,348.957703977753,-269.734063883244,224,8
1340,11-Aug-2024 04:00:00,5.8585730007327,0.172032436606939,-0.21799449864907,0.781567121524753,196.116977731911,-248.513728459939,224,8
1341,11-Aug-2024 08:00:00,3.32818973789798,0.0857349255803755,-0.205180323679871,0.702152122602112,97.7378151616281,-233.905568995052,224,8
1342,11-Aug-2024 12:00:00,4.02242019447286,0.105370512675526,-0.207874651615501,0.711159928472533,120.1223844501,-236.977102841671,224,8
1343,11-Aug-2024 16:00:00,6.59410136476823,0.217156670454838,-0.227759325964504,0.825410665351441,247.558604318515,-259.645631599535,224,8
1344,11-Aug-2024 20:00:00,7.68453368811803,0.285925190714693,-0.236862909262916,0.902881249987602,325.95471741475,-270.023716559725,224,8
1345,12-Aug-2024 00:00:00,9.8851835084127,0.489647364288762,-0.221914620693581,1.08866466982323,558.197995289188,-252.982667590682,225,8
1346,12-Aug-2024 04:00:00,12.1407997571219,0.853950929534546,-0.0855791437298326,1.20049568480006,973.504059669382,-97.5602238520091,225,8
1347,12-Aug-2024 08:00:00,13.386538971884,0.900012824075264,-0.0542458818622944,1.19986962914612,1026.0146194458,-61.8403053230157,225,8
1348,12-Aug-2024 12:00:00,10.4680992561063,0.567606322632761,-0.205184383503689,1.1393587751747,647.071207801348,-233.910197194206,225,8
1349,12-Aug-2024 16:00:00,7.55971577991323,0.278823560551579,-0.234671483294057,0.893359400992776,317.8588590288,-267.525490955225,225,8
1350,12-Aug-2024 20:00:00,7.5893841831493,0.278562856250249,-0.231432494023816,0.895599960906943,317.561656125284,-263.83304318715,225,8
1351,13-Aug-2024 00:00:00,5.40469378914569,0.143689263017923,-0.211405269891959,0.758470410072183,163.805759840432,-241.002007676833,226,8
1352,13-Aug-2024 04:00:00,6.04734124595751,0.176750720059664,-0.217614398594336,0.792078445379319,201.495820868017,-248.080414397543,226,8
1353,13-Aug-2024 08:00:00,8.21652808510105,0.326723927042089,-0.233166918821205,0.94509968041208,372.465276827982,-265.810287456173,226,8
1354,13-Aug-2024 12:00:00,9.72709955523684,0.469832300655455,-0.22472413508079,1.07473533429474,535.608822747219,-256.1855139921,226,8
1355,13-Aug-2024 16:00:00,12.1993393300304,0.871962530743396,-0.0801234483316514,1.20063720773046,994.037285047471,-91.3407310980826,226,8
1356,13-Aug-2024 20:00:00,10.7673931690913,0.606516504851912,-0.195153546826948,1.16445378129736,691.428815531179,-222.475043382721,226,8
1357,14-Aug-2024 00:00:00,7.95078515963895,0.30574077022451,-0.232885462834069,0.923697942583361,348.544478055941,-265.489427630839,227,8
1358,14-Aug-2024 04:00:00,4.03476055601184,0.110012659831742,-0.212336361743842,0.711413217135796,125.414432208186,-242.06345238798,227,8
1359,14-Aug-2024 08:00:00,1.60850904537017,0.0781014439201136,-0.207038985950717,0.700394926439407,89.0356460689295,-236.024443983817,227,8
1360,14-Aug-2024 12:00:00,5.15956289747969,0.140146765688285,-0.211421662791921,0.747379869963835,159.767312884645,-241.02069558279,227,8
1361,14-Aug-2024 16:00:00,8.52596086760858,0.343085996460331,-0.235327234293619,0.970659999031489,391.118035964777,-268.273047094726,227,8
1362,14-Aug-2024 20:00:00,10.0161954641168,0.506029327419667,-0.219169572113186,1.10022946050515,576.87343325842,-249.853312209032,227,8
1363,15-Aug-2024 00:00:00,11.0739426734134,0.66285559331959,-0.179019715806854,1.1887435155626,755.655376384333,-204.082476019813,228,8
1364,15-Aug-2024 04:00:00,10.6230381516237,0.588639993145406,-0.198917956420084,1.1524601765027,671.049592185763,-226.766470318895,228,8
1365,15-Aug-2024 08:00:00,8.89351820654443,0.385870406838024,-0.231792388253646,1.00191474350877,439.892263795348,-264.243322609156,228,8
1366,15-Aug-2024 12:00:00,6.59315890508769,0.208834104766957,-0.222921003243351,0.825328380105173,238.070879434331,-254.129943697421,228,8
1367,15-Aug-2024 16:00:00,7.64810963727701,0.277169139980509,-0.237222991102664,0.900065622701299,315.972819577781,-270.434209857037,228,8
1368,15-Aug-2024 20:00:00,10.4200630022805,0.560832328459628,-0.206994604629305,1.13525988588645,639.348854443976,-235.973849277408,228,8
1369,16-Aug-2024 00:00:00,8.99682411121242,0.396488420977449,-0.232527070601648,1.01081993892001,451.996799914292,-265.080860485879,229,8
1370,16-Aug-2024 04:00:00,8.91571145083157,0.380424486004102,-0.233947356961658,1.00377887782276,433.683914044677,-266.69998693629,229,8
1371,16-Aug-2024 08:00:00,10.1189612428317,0.519612672147047,-0.216231054637355,1.10919506874054,592.358446247633,-246.503402286585,229,8
1372,16-Aug-2024 12:00:00,11.0862213145009,0.657411739136176,-0.178147892501439,1.18966658570326,749.449382615241,-203.08859745164,229,8
1373,16-Aug-2024 16:00:00,11.8073725931073,0.790426468781332,-0.127040197279097,1.20021650924134,901.086174410719,-144.82582489817,229,8
1374,16-Aug-2024 20:00:00,11.8594243326616,0.813665693037088,-0.111246164334961,1.20008527484355,927.57889006228,-126.820627341856,229,8
1375,17-Aug-2024 00:00:00,11.9529401791485,0.81657295908124,-0.109657891660223,1.19999755675922,930.893173352613,-125.009996492655,230,8
